University,Latitude,Longitude,Webiste,UniversityType,Ranking(2019 US News),Property,Location,CampusSetting,SchoolName,DegreeName,TypeofDegree,tuition alone(In-state),tuition alone(out of state),full time or part time,Program length(if full time),UX/Interaction design,hci,Data viz/ infor viz,game,interactive computing technologies,Information technoloy,Cognitive science,human factor
Depaul University,41.9248,87.6566,http://www.cdm.depaul.edu/academics/Pages/Current/Requirements-MS-in-Human-Computer-Interaction.aspx,national,119,public,"Chicago, IL",urban,college of computing and digital meida,Master of Science in Human Computer Interaction,ms,44200,44200,either,2,UX/Interaction design,hci,Data viz/ infor viz,-,interactive computing technologies,Information technoloy,,
Iowa State University,42.0266,93.6465,http://www.vrac.iastate.edu/hci/degree-programs/masters/,national,119,public,"Ames, IA",urban,visual reality applications center,Master of Science in Human Computer Interaction,ms,21008,49532,either,2,UX/Interaction design,Cognitive science,,,,,Cognitive science,human factor
University of North Texas,33.2075,97.1526,https://frisco.unt.edu/programs/interaction-user-experience-design,Regional,"Regional UniversitiesWest, Tier 2.",public,"Denton, TX",city,UNT at Frisco,ma in design,ma,6834,18744,either,1.5,UX/Interaction design,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
